Machine,Date,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd
M066_A1,2015/6/4,34,21386.33081,67253.00917,11,109683.3615,170937.0183,,,,,,,,,,5,222080.7736,144154.0475,43350,31.7811221,444.4191523,,,,132,10379.59816,16360.46143,303,4373.848044,12417.02635,9,143325.4007,138126.5932,13,98884.72525,208223.1237,5,59134.53296,62476.47603,30,19168.54626,28457.65466,598,2277.600932,7765.342602,1821,733.6191852,2809.937134,105,11587.63077,78751.66029,17347,78.68994023,1114.770586,3,36.5021295,7.7175615,,,,91,14448.74286,33688.91005,8,59978.88833,146750.8938,,,,,,,,,,,,,,,
M066_A1,2015/6/5,40,21126.1971,62760.34,11,109683.3615,170937.0183,,,,,,,,,,9,120800.4116,143877.0484,43049,31.94142625,437.0154255,,,,138,10015.28471,15992.18384,329,4110.892737,11505.81738,8,139818.1129,147329.9438,14,98531.18963,200058.0548,6,142881.7246,176570.1461,35,26375.76875,49874.90259,608,2260.452065,7647.053554,1996,685.1679977,2647.860623,105,11587.63077,78751.66029,16706,81.00846249,1105.180528,15,20075.19216,67681.41702,,,,103,13188.15522,31858.14366,8,59978.88833,146750.8938,,,,,,,,,,,,,,,
M066_A1,2015/6/6,41,21527.27933,62021.46871,10,71987.11792,135114.7793,,,,,,,,,,9,120800.4116,143877.0484,42948,31.98739526,424.3523245,,,,140,9810.827951,16040.88068,355,3822.145123,10781.16133,9,158735.2408,146621.4594,12,82282.23735,202209.4365,12,78811.6296,137828.9571,47,21428.02927,44234.54945,629,2181.94864,7431.143835,2194,623.3355115,2433.063323,92,7411.160515,39110.31095,13438,101.6713718,1323.1345,15,20075.19216,67681.41702,,,,109,12515.98898,31244.90404,8,59978.88833,146750.8938,,,,,,,,,,,,,,,
M066_A1,2015/6/7,41,21527.27933,62021.46871,11,107390.2644,166465.757,,,,,,,,,,9,120800.4116,143877.0484,42491,32.47477307,419.8606318,,,,141,9585.036156,15735.64162,350,3759.045869,10590.35558,53,18663.29148,61736.58728,13,90025.70358,195296.8053,12,78811.6296,137828.9571,54,19303.36548,41611.17723,630,2133.950194,7102.056093,2197,627.2169758,2414.357412,92,7411.160515,39110.31095,14138,96.65275832,1390.941081,15,20075.19216,67681.41702,,,,101,12771.53739,32371.40669,9,123828.7232,217672.8201,,,,,,,,,,,,,,,
M066_A1,2015/6/8,43,25267.86989,65268.3144,11,107390.2644,166465.757,,,,,,,,,,10,128969.3468,137602.2887,47067,29.27708502,390.3087893,,,,153,8832.018485,15039.11933,357,3770.916081,10058.1283,53,18663.29148,61736.58728,24,52654.80185,147464.3012,12,78811.6296,137828.9571,54,19303.36548,41611.17723,707,1943.414209,6781.274479,2213,619.1796312,2294.330353,94,8657.385441,40482.95709,12454,110.5588996,1573.085799,15,20075.19216,67681.41702,,,,100,11766.60713,30943.56825,9,123828.7232,217672.8201,,,,,,,,,,,,,,,
M066_A1,2015/6/9,43,25267.86989,65268.3144,11,107390.2644,166465.757,,,,,,,,,,11,124738.6349,131156.5522,46716,29.55758522,414.7166575,,,,158,8771.746965,16309.07487,350,3902.359339,10904.70627,54,20862.15005,63173.66375,29,46751.22479,134428.951,12,78811.6296,137828.9571,54,19303.36548,41611.17723,763,1808.841989,6660.691095,2144,644.3222531,2461.576458,95,9642.096995,41371.64628,11546,118.3770382,1673.977004,15,20075.19216,67681.41702,,,,93,11903.96787,31915.55967,9,123828.7232,217672.8201,,,,,,,,,,,,,,,
M066_A1,2015/6/10,43,25267.86989,65268.3144,11,107390.2644,166465.757,,,,,,,,,,11,118608.6988,129730.8985,47132,29.17179013,427.3110166,,,,155,8887.343861,16452.66617,328,4030.670652,11170.35605,54,20862.15005,63173.66375,27,22876.54921,40880.83502,13,101324.1153,151620.2002,55,24724.60831,57070.90985,751,1824.868468,6763.813374,2037,676.295757,2577.960471,95,9642.096995,41371.64628,10871,124.3628593,1750.538082,15,20075.19216,67681.41702,,,,83,9244.893127,16309.48754,9,123828.7232,217672.8201,,,,,,,,,,,,,,,
M066_A1,2015/6/11,44,30302.97783,72288.87395,8,115973.7712,183605.0091,,,,,,,,,,12,118559.136,123693.6577,46382,29.72581033,432.307034,,,,154,8926.320048,16627.73826,293,4625.73442,13305.63484,54,20862.15005,63173.66375,27,22876.54921,40880.83502,14,93570.28601,148127.6043,71,19555.91937,51091.17583,744,1840.737698,6890.785983,1963,701.573207,2604.359262,95,9642.096995,41371.64628,10383,130.9421924,1799.319266,15,20075.19216,67681.41702,,,,83,9244.893127,16309.48754,9,123828.7232,217672.8201,,,,,,,,,,,,,,,
M066_A1,2015/6/12,28,36548.86746,62533.90236,8,115973.7712,183605.0091,,,,,,,,,,11,89021.53279,85046.82843,46048,30.01758292,435.3395026,,,,148,8999.88232,16824.2858,260,5326.17201,14417.196,53,15857.17352,52345.21204,27,22876.54921,40880.83502,15,87501.56813,142797.7662,75,17013.1238,48978.09234,721,1894.278294,7043.766279,1835,752.5072975,2796.392108,95,9642.096995,41371.64628,10292,128.715329,1911.289688,15,20075.19216,67681.41702,,,,83,9244.893127,16309.48754,8,81598.01439,199706.7199,,,,,,,,,,,,,,,
M066_A1,2015/6/13,28,36548.86746,62533.90236,8,115973.7712,183605.0091,,,,,,,,,,11,89021.53279,85046.82843,45874,30.10586653,434.7842128,,,,157,8586.628599,15727.57715,249,5525.96753,14756.16111,53,15857.17352,52345.21204,27,22876.54921,40880.83502,24,56437.97683,118349.7117,78,17331.80737,48179.72764,746,1798.005982,6642.017169,1759,784.1973278,2854.794626,97,12587.2957,50583.92823,10378,132.7931283,1906.210811,15,20075.19216,67681.41702,,,,83,9244.893127,16309.48754,8,81598.01439,199706.7199,,,,,,,,,,,,,,,
