Machine,Date,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,result
M040_A1,2015/5/30,11,7850.549029,9407.843667,,,,,,,,,,,,,1,,,2168,36.16993214,582.0493464,,,,2,54422.70192,0,3,16168.21438,9669.400355,,,,,,,,,,,,,6,10884.6196,21768.84345,15,5384.429183,8686.993834,,,,4910,17.18093056,179.3704827,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/5/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
M040_A1,2015/6/3,,,,,,,,,,,,,,,,,,,336,39.06811358,518.6425043,,,,,,,,,,,,,,,,,,,,,,,,,2,0.084161,0,,,,2,240.980366,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/4,,,,,,,,,,,,,,,,,,,524,164.9860709,743.7081507,,,,5,13321.84033,15517.51193,3,10761.42351,2622.568843,,,,,,,1,,,,,,35,1712.231935,5094.140152,43,2046.948709,4816.412369,,,,370,231.5468581,739.6464438,,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/5,,,,,,,,,,,,,,,,1,,,2907,29.49713467,424.5115149,,,,8,9779.267904,14880.26802,6,15114.90774,11629.56931,,,,,,,2,1024.358141,0,,,,46,1727.6414,3495.585765,39,2201.827103,4021.070094,,,,361,237.6378683,782.2341291,1,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
M040_A1,2015/6/6,6,8193.566607,16356.35831,,,,,,,,,,,,,1,,,1846,42.85305188,295.6964716,,,,21,3707.75857,8456.671565,27,2999.76723,6683.949763,,,,,,,,,,,,,108,738.2812262,3527.054493,150,540.6416513,2422.894745,,,,298,288.3414905,1027.421073,,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/7,,,,,,,,,,,,,,,,,,,1669,46.36048181,532.8662625,,,,2,24453.01385,0,,,,,,,,,,,,,,,,8,3493.344322,8556.437625,5,5028.829605,7522.318789,,,,384,219.04329,677.6124363,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/8,,,,,,,,,,,,,,,,,,,2154,39.9980448,224.2094149,,,,2,38161.82709,0,,,,,,,,,,,,,,,,8,5451.746188,9801.564697,31,2570.951739,2984.009576,,,,507,166.3289488,442.5342437,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/9,1,,,,,,,,,,,,,,,,,,2941,29.31729827,308.4910362,,,,3,26723.16233,797.223058,2,18750.86544,0,,,,,,,,,,,,,11,5344.672097,10691.30508,14,6237.291315,10203.48106,,,,445,190.0148277,485.1645277,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/10,,,,,,,,,,,,,,,,9,2187.942651,3451.578381,2467,34.79555949,219.1662455,,,,2,44813.70449,0,,,,,,,,,,,,,1,,,9,5884.808072,9037.184753,10,5271.839867,7154.351128,,,,529,161.0446911,302.3684003,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
M040_A1,2015/6/11,3,21233.0542,19248.46247,,,,,,,,,,,,,12,5783.818419,5713.554053,1539,55.12161828,504.629515,,,,,,,2,48.507894,0,,,,,,,1,,,,,,1,,,13,3944.803034,6711.869011,,,,367,229.1592908,700.4580043,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/12,1,,,,,,,,,,,,,,,33,2464.612389,5357.398188,2188,37.34760467,181.5756966,,,,5,12536.85061,21649.51138,4,7965.719989,8670.433421,,,,,,,,,,,,,16,3343.186634,7259.391107,20,2711.673233,6276.241132,,,,618,136.4943727,446.8671433,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
