Machine,Date,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,result
M040_A1,2015/6/2,11,7850.549029,9407.843667,,,,,,,,,,,,,1,,,2168,36.16993214,582.0493464,,,,2,54422.70192,0,3,16168.21438,9669.400355,,,,,,,,,,,,,6,10884.6196,21768.84345,15,5384.429183,8686.993834,,,,4910,17.18093056,179.3704827,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
M040_A1,2015/6/3,,,,,,,,,,,,,,,,,,,336,39.06811358,518.6425043,,,,,,,,,,,,,,,,,,,,,,,,,2,0.084161,0,,,,2,240.980366,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/4,,,,,,,,,,,,,,,,,,,860,116.2305072,667.5101089,,,,5,13321.84033,15517.51193,3,10761.42351,2622.568843,,,,,,,1,,,,,,35,1712.231935,5094.140152,45,1964.509152,4721.077744,,,,372,231.7887408,737.6619986,,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/5,,,,,,,,,,,,,,,,1,,,3767,49.27265839,491.9492088,,,,13,11009.26246,14564.57363,9,17724.28775,13912.76443,,,,,,,3,57351.64744,56327.28929,,,,81,1715.634434,4231.365848,84,2081.495578,4385.906078,,,,733,236.4253425,760.908534,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,TRUE
M040_A1,2015/6/6,6,8193.566607,16356.35831,,,,,,,,,,,,,2,105096.3513,0,5613,47.64979675,438.7452994,,,,34,6614.87411,11554.6738,36,6458.514181,10739.10324,,,,,,,3,57351.64744,56327.28929,,,,189,1200.713843,3911.392181,234,1091.005547,3339.128375,,,,1031,251.9189546,846.563716,1,,,,,,2,194222.4786,0,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/7,6,8193.566607,16356.35831,,,,,,,,,,,,,2,105096.3513,0,6946,49.45826151,482.039564,,,,36,8297.930372,13428.70093,36,6458.514181,10739.10324,,,,,,,3,57351.64744,56327.28929,,,,197,1506.918812,5219.800448,237,1455.40214,5656.039487,,,,1413,244.112216,805.8601268,1,,,,,,2,194222.4786,0,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/8,6,8193.566607,16356.35831,,,,,,,,,,,,,2,105096.3513,0,8576,40.29193023,408.3352528,,,,33,9610.909973,15059.82559,33,4994.632282,8758.845972,,,,,,,2,1024.358141,0,,,,170,1873.532699,6392.083351,225,1516.368542,5550.857746,,,,1550,222.2878788,727.4169882,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/9,7,41241.03716,75389.7778,,,,,,,,,,,,,1,,,8610,39.89051385,369.9706807,,,,28,11422.94185,15556.89353,29,12049.36032,44556.61465,,,,,,,,,,,,,135,2318.996396,7827.814393,200,1708.360623,6304.708376,,,,1634,211.018767,658.334867,,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/10,1,,,,,,,,,,,,,,,9,2187.942651,3451.578381,9231,36.65055648,326.7189521,,,,9,34478.21638,8298.856129,2,18750.86544,0,,,,,,,,,,1,,,36,7945.442602,13306.06935,60,4678.513018,7865.63109,,,,1865,183.886536,484.8134639,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
M040_A1,2015/6/11,4,67836.06453,67754.58174,,,,,,,,,,,,,21,5133.718773,6316.345767,9101,37.89949179,314.6105213,,,,7,34792.78567,7996.312908,4,42659.74852,47652.48988,,,,,,,1,,,1,,,29,11095.17241,21107.09892,68,4552.404235,7710.278697,,,,1848,184.9547705,487.1367773,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/12,5,62523.39672,59394.32488,,,,,,,,,,,,,54,3596.333492,5883.343829,9135,37.33145512,307.7475424,,,,10,37876.56656,43362.29469,8,39804.15337,50232.8487,,,,,,,1,,,1,,,37,9469.152644,19805.52593,57,6088.267472,11929.18811,,,,1959,174.9268821,488.7042368,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/13,5,40364.04072,25190.78448,1,,,,,,,,,,,,65,3573.831637,5501.469595,8475,40.51619834,283.6757248,,,,7,40501.88379,52580.42872,19,13314.83507,29106.68964,,,,,,,1,,,1,,,31,10982.91671,20665.36159,101,3101.103818,8190.442742,,,,2903,118.9679841,388.4771356,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/14,5,40364.04072,25190.78448,1,,,,,,,,,,,,56,3448.597308,5226.503881,7584,45.40625305,363.9912575,,,,7,32799.61965,38365.80539,21,12578.70043,27764.82152,,,,1,,,1,,,,,,32,8774.991601,13871.92491,106,3233.825404,8248.615215,,,,2696,119.9841578,686.8549302,,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/15,2,72404.66118,0,1,,,,,,,,,,,,44,2720.631305,4891.864923,7219,47.81921729,331.1035431,,,,9,34424.42615,33496.13639,19,6931.824031,9577.275877,,,,1,,,,,,,,,45,6843.867782,10998.17842,100,2901.591228,6280.251089,,,,2357,138.3527649,1176.080217,,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/16,1,,,1,,,,,,,,,,,,11,3341.081469,3172.542058,7316,46.91234681,470.689635,,,,5,53147.54549,23192.45518,17,20196.89393,46341.24205,,,,1,,,2,796.076608,0,,,,41,8394.101661,12653.39583,92,3568.614771,8754.798762,,,,1743,186.159042,2132.985944,,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/17,1,,,,,,,,,,,,,,,,,,8918,38.63433651,437.2061886,,,,9,38346.9272,24921.53952,7,51847.24439,66022.66401,1,,,1,,,2,796.076608,0,,,,75,4526.290674,8961.28883,62,5497.934214,10594.0537,,,,356,887.5600732,5756.25977,,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/18,2,43342.62009,0,,,,,,,,,,,,,,,,9755,35.27984093,382.5320819,,,,9,41037.02055,25210.27353,6,30413.18349,16890.39367,1,,,,,,2,796.076608,0,,,,77,4319.691582,7569.083861,67,5074.434118,9867.63654,,,,35,7439.404255,16679.07489,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/19,2,43342.62009,0,,,,,,,,,,,,,,,,11228,30.77149285,357.2751903,,,,9,32051.59991,15383.99815,9,29684.75907,28023.3231,1,,,,,,2,796.076608,0,1,,,77,3974.987582,5629.092831,77,3874.907705,6694.449554,,,,9,36846.89873,37521.21839,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/20,2,43342.62009,0,,,,,,,,,,,,,,,,10864,31.44778573,290.7710507,,,,10,33226.2807,14816.01626,8,40565.00518,48437.58035,1,,,,,,,,,1,,,83,3740.639377,5929.031397,80,4038.084167,5968.809947,,,,9,35998.98131,33737.92268,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/21,1,,,1,,,,,,,,,,,,,,,9145,37.11102377,390.1915399,,,,6,42338.81425,7980.8544,10,36441.49959,45574.99482,,,,,,,,,,1,,,58,5754.245685,10450.77078,80,4171.589658,7654.608868,,,,10,35952.2257,33002.12003,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/22,,,,1,,,,,,,,,,,,,,,8943,38.43235938,405.9862818,,,,5,78772.27674,62757.68861,9,30330.81657,44728.63903,,,,,,,,,,1,,,50,6724.774434,13618.60686,64,4997.938754,10113.02657,,,,9,25380.95121,14816.06621,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/23,1,,,1,,,,,,,,,,,,,,,8252,41.45269772,459.1474021,,,,4,98721.74126,63070.50747,6,21066.25164,21512.04364,,,,,,,,,,,,,43,8132.263215,15746.61081,54,5996.778224,11085.4749,,,,9,33787.32616,38689.70504,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
