Machine,Date,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd
M066_A1,2015/5/27,17,3221.41952,10070.40386,4,153913.8591,208686.2328,,,,,,,,,,2,182660.9513,0,21015,32.6760553,397.478076,,,,44,15913.82221,15494.28179,135,4898.500292,12581.78309,3,289328.4375,121452.0226,4,125269.8949,158307.9042,1,,,12,11305.78646,10577.62429,238,2887.319635,8039.393123,728,905.3790836,3002.992752,14,588.9300812,1774.165715,11031,60.70684867,680.7352703,,,,,,,37,12104.40724,19180.81675,1,,,,,,,,,,,,,,,,,
M066_A1,2015/5/28,17,3221.41952,10070.40386,4,153913.8591,208686.2328,,,,,,,,,,2,182660.9513,0,21112,32.48417181,367.8176329,,,,42,15239.96542,15269.02427,161,4033.031602,9788.460282,2,410780.46,0,4,125269.8949,158307.9042,1,,,12,11305.78646,10577.62429,231,2802.838709,7567.964045,919,730.1722321,2485.648755,14,588.9300812,1774.165715,10168,65.09713388,750.888017,,,,,,,35,11930.75722,19717.71569,1,,,,,,,,,,,,,,,,,
M066_A1,2015/5/29,17,3221.41952,10070.40386,4,87362.08192,114620.7757,,,,,,,,,,2,182660.9513,0,20643,32.79640707,342.3326234,,,,43,15970.39762,17885.80391,159,3728.184802,9056.927969,2,410780.46,0,2,8.830428,0,3,81346.83324,80978.67811,17,17630.3486,24101.02056,235,2866.48331,8064.558615,912,735.6702001,2391.542408,,,,8653,79.06266352,909.3517805,,,,,,,35,19066.25218,49037.60045,1,,,,,,,,,,,,,,,,,
M066_A1,2015/5/30,17,3221.41952,10070.40386,4,87362.08192,114620.7757,,,,,,,,,,2,182660.9513,0,20789,33.22229025,334.1281454,,,,52,12465.0533,16359.2196,211,3149.066123,9298.009641,2,281120.9295,0,2,8.830428,0,5,59134.53296,62476.47603,23,16215.71936,23281.65657,231,2849.848691,7453.856907,1196,575.8405457,2053.282295,1,,,6888,100.0193101,1180.679968,,,,,,,32,21941.57574,51350.27474,1,,,,,,,,,,,,,,,,,
M066_A1,2015/5/31,17,3221.41952,10070.40386,4,87362.08192,114620.7757,,,,,,,,,,2,182660.9513,0,19160,35.72627854,504.792628,,,,50,12145.83973,16072.31153,207,2814.476852,7670.137283,2,281120.9295,0,2,8.830428,0,5,59134.53296,62476.47603,23,16215.71936,23281.65657,208,2882.935275,7681.316167,1160,550.9873557,2133.464229,1,,,5120,133.6333066,1703.526271,,,,,,,32,18612.92541,48661.82937,1,,,,,,,,,,,,,,,,,
M066_A1,2015/6/1,26,16809.92239,70628.72936,4,87362.08192,114620.7757,,,,,,,,,,3,298298.0596,115637.1083,19157,36.00357037,508.0816771,,,,60,11585.52257,18335.22105,217,3138.504446,10530.46696,3,210399.5949,70721.33468,2,8.830428,0,5,59134.53296,62476.47603,30,19168.54626,28457.65466,240,2878.402856,9297.591576,1156,596.4366131,2658.91571,3,119508.4633,119508.1602,3895,170.3298457,2035.071683,,,,,,,27,23319.60798,54771.47348,8,59978.88833,146750.8938,,,,,,,,,,,,,,,
M066_A1,2015/6/2,28,18860.20233,69410.67323,10,71987.11792,135114.7793,,,,,,,,,,2,413935.168,0,20915,32.75281688,485.2252603,,,,65,10694.49351,18383.87882,213,3098.353522,10458.37814,7,94657.72177,105107.4269,7,188.5336953,111.3571805,5,59134.53296,62476.47603,30,19168.54626,28457.65466,241,2854.224713,9351.188005,1183,584.4327147,2624.952697,69,3800.507404,28774.29231,4598,145.8931268,1882.068967,3,36.5021295,7.7175615,,,,22,20381.11197,26489.94768,8,59978.88833,146750.8938,,,,,,,,,,,,,,,
M066_A1,2015/6/3,28,18860.20233,69410.67323,7,64299.63592,143658.4564,,,,,,,,,,2,413935.168,0,21584,31.90646274,487.4365309,,,,73,9384.255045,17506.86744,199,3447.862732,11350.13908,7,94657.72177,105107.4269,8,4359.711533,10217.77746,5,59134.53296,62476.47603,23,23246.44846,31429.61229,317,2144.32755,8106.507538,1173,586.9700245,2580.152416,69,3800.507404,28774.29231,6277,108.2403695,1583.356536,3,36.5021295,7.7175615,,,,43,12229.70575,20669.25973,8,59978.88833,146750.8938,,,,,,,,,,,,,,,
M066_A1,2015/6/4,17,18359.60555,41263.96101,7,64299.63592,143658.4564,,,,,,,,,,3,145863.4876,128727.1869,22335,30.92324457,484.4522511,,,,88,7467.16696,16063.28628,168,3962.195283,12304.31225,6,57365.08021,70090.21866,9,12071.47928,22531.13705,4,24737.54016,21720.97961,18,19411.97835,29497.40113,360,1849.87598,7546.696449,1093,619.588674,2668.914479,91,4932.180717,31422.7011,6316,103.0694479,1513.538487,3,36.5021295,7.7175615,,,,54,11066.17128,18719.8389,7,68.08893667,42.10002808,,,,,,,,,,,,,,,
M066_A1,2015/6/5,23,18723.92995,37895.9912,7,64299.63592,143658.4564,,,,,,,,,,7,61634.52893,95609.02916,21937,31.25307427,493.9472935,,,,96,6989.849664,13815.03367,168,4055.647581,12860.37436,6,57365.08021,70090.21866,10,21206.73293,33449.50251,5,138020.778,197111.9647,23,30495.08765,58319.75052,377,1766.053495,7000.093021,1077,634.8915333,2751.724671,91,4932.180717,31422.7011,6538,100.7383485,1441.887917,15,20075.19216,67681.41702,,,,68,9872.014442,16983.39659,7,68.08893667,42.10002808,,,,,,,,,,,,,,,
