Machine,Date,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,count,vMean,vStd,result
M040_A1,2015/6/6,17,42345.77497,133677.3189,,,,,,,,,,,,,3,338624.7284,233528.3771,7781,87.49760883,3827.172241,,,,36,19281.02967,67082.59452,39,17491.74717,64819.79176,,,,,,,3,57351.64744,56327.28929,,,,195,3491.501378,28853.26492,249,2730.640385,22299.54555,,,,5941,116.0571346,4500.201762,1,,,,,,2,194222.4786,0,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/7,6,8193.566607,16356.35831,,,,,,,,,,,,,2,105096.3513,0,7282,49.03748343,483.7811054,,,,36,8297.930372,13428.70093,36,6458.514181,10739.10324,,,,,,,3,57351.64744,56327.28929,,,,197,1506.918812,5219.800448,239,1445.132193,5633.369792,,,,1415,244.1579074,805.2920278,1,,,,,,2,194222.4786,0,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/8,6,8193.566607,16356.35831,,,,,,,,,,,,,2,105096.3513,0,9436,47.20142659,438.8432966,,,,38,10032.5782,14950.18723,36,6458.514181,10739.10324,,,,,,,3,57351.64744,56327.28929,,,,205,1843.793715,6178.900609,270,1593.908017,5416.177339,,,,1922,224.7983563,729.8265231,1,,,,,,2,194222.4786,0,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/9,7,41241.03716,75389.7778,,,,,,,,,,,,,2,105096.3513,0,12377,42.96737333,411.6874185,,,,41,11313.8776,15068.11087,38,13119.8956,39382.20476,,,,,,,3,57351.64744,56327.28929,,,,216,2127.830829,6722.338828,284,1814.884984,5798.66741,,,,2367,219.1178136,691.7583093,1,,,,,,2,194222.4786,0,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/10,7,41241.03716,75389.7778,,,,,,,,,,,,,11,45188.50771,99592.95531,14844,41.63560395,386.4147529,,,,43,12900.00667,16326.48172,38,13119.8956,39382.20476,,,,,,,3,57351.64744,56327.28929,1,,,225,2450.862357,7394.583672,294,2047.298333,6247.454422,,,,2896,208.6736456,639.0086234,1,,,,,,2,194222.4786,0,,,,,,,,,,,,,,,,,,,TRUE
M040_A1,2015/6/11,10,50106.04628,74003.26764,,,,,,,,,,,,,23,24411.63234,69963.81866,16047,43.03631772,396.2617778,,,,43,12900.00667,16326.48172,40,15247.80814,41326.47868,,,,,,,4,199643.3153,206419.5077,1,,,226,2882.828986,9809.901314,305,2158.477734,6299.568301,,,,3261,211.2680439,646.6088967,1,,,,,,2,194222.4786,0,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/12,11,49753.98098,70213.60843,,,,,,,,,,,,,56,11363.40384,45704.98348,17711,38.77553407,359.9765715,,,,43,16103.37153,26697.1101,41,16977.36455,44267.4456,,,,,,,3,242625.5046,241601.1464,1,,,207,3327.279179,10645.56626,282,2435.501561,7500.700171,,,,3509,196.4251085,607.1913266,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/13,12,51813.13373,67261.98453,1,,,,,,,,,,,,66,8584.775529,40457.53688,17085,40.22353698,330.0007259,,,,35,17525.35895,28707.24217,48,14600.61686,41255.56199,,,,,,,1,,,1,,,166,4149.479355,12184.19105,301,2296.245161,7322.224547,,,,4537,152.2232355,504.5651479,,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/14,6,64499.64961,53270.73272,1,,,,,,,,,,,,65,3573.831637,5501.469595,16815,40.67687519,344.1932064,,,,16,41378.24298,37933.20741,23,17250.21574,33239.81805,,,,1,,,1,,,1,,,68,9697.889322,17443.39209,166,3788.070761,8129.799841,,,,4561,146.3653419,613.3353296,,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
M040_A1,2015/6/15,6,64499.64961,53270.73272,1,,,,,,,,,,,,65,3573.831637,5501.469595,16320,42.33146002,322.087325,,,,16,42146.82127,37750.65051,23,17250.21574,33239.81805,,,,1,,,1,,,1,,,74,9012.836862,16345.37064,168,3937.566932,8400.636181,,,,4205,159.5242366,939.1260855,,,,,,,1,,,,,,,,,,,,,,,,,,,,,FALSE
